run_id,campaign_id,configuration,repo,scenario,repetition,finding_id,ground_truth_id,method,branch_created,pr_created,tests_returncode,human_review_required,status,time_to_patch_pr_seconds,time_to_green_patch_seconds
20260713T190747487970Z_C0_BuildOnly_full_alpha_multi_layer_r1,full_protocol_probe_20260713,C0_BuildOnly,full_alpha_multi_layer,multi_layer,1,,,not_applicable,,,,,no_remediation_event,0.0,0.0
20260713T190748026781Z_C1_NonBlockingScanning_full_alpha_multi_layer_r1,full_protocol_probe_20260713,C1_NonBlockingScanning,full_alpha_multi_layer,multi_layer,1,,,not_applicable,,,,,no_remediation_event,0.0,0.0
20260713T190817483215Z_C3_PolicyOnly_full_alpha_multi_layer_r1,full_protocol_probe_20260713,C3_PolicyOnly,full_alpha_multi_layer,multi_layer,1,,,not_applicable,,,,,no_remediation_event,0.0,0.0
20260713T190842178447Z_C4_AgentsOnly_full_alpha_multi_layer_r1,full_protocol_probe_20260713,C4_AgentsOnly,full_alpha_multi_layer,multi_layer,1,20260713T190842178447Z_C4_AgentsOnly_full_alpha_multi_layer_r1:trivy:vuln:CVE-2019-14234:django:requirements.txt,,dependency_update,local-only-no-git-push,False,0,True,patched_local_workspace,0.0,0.0
20260713T190842178447Z_C4_AgentsOnly_full_alpha_multi_layer_r1,full_protocol_probe_20260713,C4_AgentsOnly,full_alpha_multi_layer,multi_layer,1,20260713T190842178447Z_C4_AgentsOnly_full_alpha_multi_layer_r1:trivy:misconfig:DS-0002:Dockerfile:5,GT-IAC-DOCKER-001-full_alpha_multi_layer,rule_based_agent,local-only-no-git-push,False,0,True,patched_local_workspace,0.0,0.0
20260713T190842178447Z_C4_AgentsOnly_full_alpha_multi_layer_r1,full_protocol_probe_20260713,C4_AgentsOnly,full_alpha_multi_layer,multi_layer,1,20260713T190842178447Z_C4_AgentsOnly_full_alpha_multi_layer_r1:trivy:misconfig:KSV-0001:k8s/deployment.yaml:16,GT-IAC-K8S-001-full_alpha_multi_layer,rule_based_agent,local-only-no-git-push,False,0,True,patched_local_workspace,0.0,0.0
20260713T190842178447Z_C4_AgentsOnly_full_alpha_multi_layer_r1,full_protocol_probe_20260713,C4_AgentsOnly,full_alpha_multi_layer,multi_layer,1,20260713T190842178447Z_C4_AgentsOnly_full_alpha_multi_layer_r1:semgrep:SecFlowOps.scanners.semgrep.secflowops.reflected-html:C:\Users\User\Downloads\Compressed\DevSecOps8Abdoul\SecFlowOps\data\raw\20260713T190842178447Z_C4_AgentsOnly_full_alpha_multi_layer_r1\workspace\app.py:8,GT-SAST-XSS-001-full_alpha_multi_layer,rule_based_agent,local-only-no-git-push,False,0,True,patched_local_workspace,0.0,0.0
20260713T190842178447Z_C4_AgentsOnly_full_alpha_multi_layer_r1,full_protocol_probe_20260713,C4_AgentsOnly,full_alpha_multi_layer,multi_layer,1,20260713T190842178447Z_C4_AgentsOnly_full_alpha_multi_layer_r1:gitleaks:secflowops-fake-aws-access-key:C:/Users/User/Downloads/Compressed/DevSecOps8Abdoul/SecFlowOps/data/raw/20260713T190842178447Z_C4_AgentsOnly_full_alpha_multi_layer_r1/workspace/.env.test:2,GT-SECRET-AWS-001-full_alpha_multi_layer,rule_based_agent,local-only-no-git-push,False,0,True,patched_local_workspace,0.0,0.0
20260713T190923656978Z_C5_SecFlowOps_full_alpha_multi_layer_r1,full_protocol_probe_20260713,C5_SecFlowOps,full_alpha_multi_layer,multi_layer,1,20260713T190923656978Z_C5_SecFlowOps_full_alpha_multi_layer_r1:trivy:vuln:CVE-2019-14234:django:requirements.txt,,dependency_update,local-only-no-git-push,False,0,True,patched_local_workspace,0.0,0.0
20260713T190923656978Z_C5_SecFlowOps_full_alpha_multi_layer_r1,full_protocol_probe_20260713,C5_SecFlowOps,full_alpha_multi_layer,multi_layer,1,20260713T190923656978Z_C5_SecFlowOps_full_alpha_multi_layer_r1:trivy:misconfig:DS-0002:Dockerfile:5,GT-IAC-DOCKER-001-full_alpha_multi_layer,rule_based_agent,local-only-no-git-push,False,0,True,patched_local_workspace,0.0,0.0
20260713T190923656978Z_C5_SecFlowOps_full_alpha_multi_layer_r1,full_protocol_probe_20260713,C5_SecFlowOps,full_alpha_multi_layer,multi_layer,1,20260713T190923656978Z_C5_SecFlowOps_full_alpha_multi_layer_r1:trivy:misconfig:KSV-0001:k8s/deployment.yaml:16,GT-IAC-K8S-001-full_alpha_multi_layer,rule_based_agent,local-only-no-git-push,False,0,True,patched_local_workspace,0.0,0.0
